titulo,autor,genero,isbn,copias_disponibles,ubicacion
No mires la habitación 13,Iván Castillo Pérez,Terror,978-1000002652,2,Sección B - Estante 8
El secreto de ajolote,Renata Sandoval Vega,Infantil,978-1000002669,3,Sección Infantil - Estante 7
México durante el Porfiriato: Guía ilustrada 2,Liliana Núñez Gutiérrez,Historia de México,978-1000002676,1,Sección Historia - Estante 6
La pandilla de ajolote: Estudios y comentarios 2,Ximena Zúñiga Rodríguez,Infantil,978-1000002683,1,Sección Infantil - Estante 10
La casa de la niebla: Historias complementarias 2,Daniel Olvera,Terror,978-1000002690,3,Sección B - Estante 7
La última la puerta roja,Verónica Padilla Gutiérrez,Juvenil,978-1000002706,4,Sección Juvenil - Estante 7
El expediente de la calle de Donceles,Andrea Medina,Misterio,978-1000002713,8,Sección B - Estante 5
Poemas de la memoria,Mario Hernández,Poesía,978-1000002720,7,Sección A - Estante 3
El pequeño tren de colores,Lorena Guerrero Robles,Infantil,978-1000002737,1,Sección Infantil - Estante 2
Memoria de la Ciudad de México,Adriana Sandoval,Historia de México,978-1000002744,1,Sección Historia - Estante 7
Principios de la genética,Liliana Salazar,Ciencia,978-1000002751,1,Sección Ciencia - Estante 9
La ciudad de los mensajes perdidos,Brenda Valdez,Juvenil,978-1000002768,2,Sección Juvenil - Estante 5
Introducción a la filosofía,Marco Olvera,Filosofía,978-1000002775,6,Sección Humanidades - Estante 3
Crónica de el Valle de México,Estela Cortés,Historia de México,978-1000002782,4,Sección Historia - Estante 11
Guía de muralismo,Susana León,Arte,978-1000002799,4,Sección Arte - Estante 8
La casa de la estación vacía,Valeria Cabrera,Terror,978-1000002805,4,Sección B - Estante 8
La torre de los sueños,Irene Velasco,Fantasía,978-1000002812,3,Sección B - Estante 10
Cuaderno de los días,Teresa Silva,Poesía,978-1000002829,2,Sección A - Estante 9
Las voces de la lluvia,Rafael Díaz,Novela,978-1000002836,2,Sección A - Estante 4
No mires la barranca,Claudia Herrera,Terror,978-1000002843,1,Sección B - Estante 1
La desaparición de el último tranvía,Andrea Aguilar,Misterio,978-1000002850,4,Sección B - Estante 5
La memoria de los ausentes,Mauricio López Díaz,Novela,978-1000002867,1,Sección A - Estante 10
Principios de las obligaciones civiles,Marco Díaz,Derecho,978-1000002874,2,Sección Humanidades - Estante 12
El pequeño niñas curiosas: Una introducción 2,Javier Miranda Alarcón,Infantil,978-1000002881,2,Sección Infantil - Estante 6
Misterio en Coyoacán,Liliana García,Misterio,978-1000002898,5,Sección B - Estante 6
Introducción a la desigualdad,Rocío Ramos,Ciencias Sociales,978-1000002904,2,Sección Humanidades - Estante 1
El jardín sin regreso,Esther Lara Solís,Novela,978-1000002911,1,Sección A - Estante 10
Guía práctica de alfabetización digital,Laura Benítez,Tecnología,978-1000002928,3,Sección Ciencia - Estante 3
Bajo la misma los inconformes: Edición para jóvenes 2,Susana Velasco,Juvenil,978-1000002935,1,Sección Juvenil - Estante 12
Memoria de la Revolución Mexicana,Gabriela Vargas,Historia de México,978-1000002942,3,Sección Historia - Estante 3
Guía ciudadana de la Constitución,Irene Pérez,Derecho,978-1000002959,2,Sección Humanidades - Estante 8
La ciudad de la secundaria 27: Lecturas seleccionadas 3,Ricardo Marín,Juvenil,978-1000002966,2,Sección Juvenil - Estante 3
Historia de la Revolución Mexicana: Guía ilustrada 2,Paola Villanueva,Historia de México,978-1000002973,1,Sección Historia - Estante 3
Las voces del último verano: Nueva edición 2,Alejandra Serrano,Novela,978-1000002980,3,Sección A - Estante 5
Retrato de un músico popular,Mauricio Ruiz García,Biografía,978-1000002997,2,Sección Historia - Estante 1
Los viajeros de la ciudad orbital,Carlos Barrera,Ciencia Ficción,978-1000003000,1,Sección B - Estante 4
Cuentos para ajolote,Mónica Rojas Silva,Infantil,978-1000003017,2,Sección Infantil - Estante 10
Fundamentos de bases de datos: Nueva edición 2,Ernesto Velasco,Tecnología,978-1000003024,3,Sección Ciencia - Estante 11
Guía básica de ciencias: Volumen I 2,Arturo Solís,Referencia,978-1000003031,1,Sección Referencia - Estante 6
La sombra sin regreso: Historias complementarias 2,Rubén Salazar,Novela,978-1000003048,2,Sección A - Estante 5
La colonia la frontera solar,Gabriela Mendoza,Ciencia Ficción,978-1000003055,1,Sección B - Estante 5
La voz de la luz,Eduardo Peña,Poesía,978-1000003062,5,Sección A - Estante 5
Crónicas del los sueños,Paola Rojas,Fantasía,978-1000003079,2,Sección B - Estante 9
Manual de consulta de la lengua española,Alejandra Aranda Ibarra,Referencia,978-1000003086,3,Sección Referencia - Estante 4
El silencio de los ausentes,Alicia Campos Blanco,Novela,978-1000003093,1,Sección A - Estante 9
Inventario de los días,Daniela Zúñiga,Poesía,978-1000003109,1,Sección A - Estante 8
Protocolo la frontera solar: Cuaderno de actividades 2,Francisco Fuentes,Ciencia Ficción,978-1000003116,1,Sección B - Estante 5
El recetario de los mercados,Adriana Sandoval,Cocina,978-1000003123,2,Sección Hogar - Estante 7
Guía de diseño,Claudia Rojas,Arte,978-1000003130,3,Sección Arte - Estante 5
Principios de derecho mexicano,Mauricio Díaz Molina,Derecho,978-1000003147,3,Sección Humanidades - Estante 8
Aprender a la enseñanza,Mario Jiménez,Educación,978-1000003154,5,Sección Educación - Estante 2
El caso de el último tranvía,Estela Ramos Rivera,Misterio,978-1000003161,1,Sección B - Estante 9
Crimen en la biblioteca cerrada,Adriana Castillo,Misterio,978-1000003178,1,Sección B - Estante 9
Rutas por el mundo,Susana Ochoa,Geografía,978-1000003185,3,Sección Referencia - Estante 8
Rutas por el mundo: Nueva edición 2,Andrea Robles Flores,Geografía,978-1000003192,6,Sección Referencia - Estante 5
Memoria de la Ciudad de México: Volumen II 2,Santiago Carrillo,Historia de México,978-1000003208,5,Sección Historia - Estante 11
Horizonte la Luna,Carlos Ruiz Estrada,Ciencia Ficción,978-1000003215,7,Sección B - Estante 6
Cuidado de la prevención,Luis Lara Carrillo,Salud,978-1000003222,2,Sección Salud - Estante 7
La distancia sin regreso,Alicia Estrada,Novela,978-1000003239,1,Sección A - Estante 9
México durante las mujeres en México,Noemí Molina,Historia de México,978-1000003246,4,Sección Historia - Estante 9
Crónicas del la niebla,Mariana Cortés,Fantasía,978-1000003253,3,Sección B - Estante 1
Pensar la libertad,Mario Aranda,Filosofía,978-1000003260,1,Sección Humanidades - Estante 11
El futuro de el Valle de México,Lucía Ortiz,Medio Ambiente,978-1000003277,1,Sección Ciencia - Estante 5
El secreto de luna de papel: Guía ilustrada 2,Fernanda Estrada Blanco,Infantil,978-1000003284,1,Sección Infantil - Estante 9
Bajo la misma estrella,Javier Escobar López,Juvenil,978-1000003291,1,Sección Juvenil - Estante 6
Breves historias de los caminos: Guía ilustrada 2,Ana Delgado Ramírez,Cuento,978-1000003307,5,Sección A - Estante 8
Las aventuras de colibrí,Enrique Velasco Silva,Infantil,978-1000003314,6,Sección Infantil - Estante 2
Panorama de los movimientos sociales,Mario Jiménez,Historia,978-1000003321,3,Sección Historia - Estante 9
Rutas por América Latina,Sandra Olvera Soto,Geografía,978-1000003338,5,Sección Referencia - Estante 5
La última misión a Europa: Nueva edición 3,Martha Zamora,Ciencia Ficción,978-1000003345,1,Sección B - Estante 9
Una vida entre un médico de barrio,Liliana Juárez García,Biografía,978-1000003352,1,Sección Historia - Estante 1
Cocinar con las regiones mexicanas,Luis Fuentes Ortega,Cocina,978-1000003369,3,Sección Hogar - Estante 12
No mires el edificio antiguo: Volumen II 3,Daniela Suárez,Terror,978-1000003376,2,Sección B - Estante 6
Los guardianes de la azotea,Pilar Blanco Marín,Juvenil,978-1000003383,3,Sección Juvenil - Estante 1
El mundo de los volcanes: Guía ilustrada 2,Valeria Rojas,Ciencia,978-1000003390,0,Sección Ciencia - Estante 8
El verano de la puerta roja,Marcela Flores,Juvenil,978-1000003406,3,Sección Juvenil - Estante 3
Órbita Tenochtitlan,Emiliano Álvarez,Ciencia Ficción,978-1000003413,6,Sección B - Estante 2
Las voces de la niebla,Miguel Espinosa,Terror,978-1000003420,2,Sección B - Estante 10
Los guardianes de los mensajes perdidos: Volumen II 2,José Robles,Juvenil,978-1000003437,2,Sección Juvenil - Estante 8
Cuentos para tlacuache: Estudios y comentarios 3,Eduardo Vega Torres,Infantil,978-1000003444,3,Sección Infantil - Estante 12
Memorias de un músico popular: Historias complementarias 2,Pilar Trejo,Biografía,978-1000003451,1,Sección Historia - Estante 10
Memorias de un médico de barrio: Estudios y comentarios 3,Salvador Ortiz,Biografía,978-1000003468,2,Sección Historia - Estante 6
La última estrella,Mario López,Juvenil,978-1000003475,1,Sección Juvenil - Estante 6
Tecnología para programación con Python,Andrea Romero,Tecnología,978-1000003482,1,Sección Ciencia - Estante 7
La espada de la niebla,Cecilia Ortega Cortés,Fantasía,978-1000003499,6,Sección B - Estante 5
Protocolo la frontera solar: Volumen I 3,Ángel Alarcón Silva,Ciencia Ficción,978-1000003505,3,Sección B - Estante 1
Las voces junto al lago,Eva Arellano Zúñiga,Novela,978-1000003512,3,Sección A - Estante 2
El silencio de la calle antigua,Leticia Pérez Suárez,Novela,978-1000003529,2,Sección A - Estante 11
Historias desde la montaña,Daniel Cervantes Ibarra,Cuento,978-1000003536,1,Sección A - Estante 9
La vida cotidiana en la Independencia,Laura Peña,Historia de México,978-1000003543,1,Sección Historia - Estante 10
El expediente de la casa azul,Rubén Castillo Vázquez,Misterio,978-1000003550,3,Sección B - Estante 12
Atlas histórico de los movimientos sociales: Estudios y comentarios 3,Rodrigo Moreno Padilla,Historia,978-1000003567,2,Sección Historia - Estante 2
Claves de las cooperativas,Adriana Sandoval,Economía,978-1000003574,8,Sección Humanidades - Estante 4
Atlas histórico de el siglo XX: Lecturas seleccionadas 2,Irene Vega,Historia,978-1000003581,3,Sección Historia - Estante 6
Atlas ilustrado de ciencias,Luis León,Referencia,978-1000003598,6,Sección Referencia - Estante 4
Bajo la misma la estación,Laura Trejo León,Juvenil,978-1000003604,3,Sección Juvenil - Estante 7
Poemas de la ausencia,Andrea Aguilar,Poesía,978-1000003611,2,Sección A - Estante 2
Cocinar con temporada,Silvia Romero,Cocina,978-1000003628,2,Sección Hogar - Estante 5
El rumor del último verano,Luis León,Novela,978-1000003635,1,Sección A - Estante 7
El jardín de la calle antigua: Lecturas seleccionadas 2,Leonardo González,Novela,978-1000003642,2,Sección A - Estante 7
Atlas histórico de el mundo moderno: Nueva edición 2,Brenda Montes,Historia,978-1000003659,3,Sección Historia - Estante 10
Manual de la salud familiar,Daniel García,Salud,978-1000003666,3,Sección Salud - Estante 2
México durante la Revolución Mexicana,Pilar Peña Escobar,Historia de México,978-1000003673,0,Sección Historia - Estante 5
Rutas de la Revolución Mexicana: Lecturas seleccionadas 2,Ricardo Romero Aguilar,Historia de México,978-1000003680,7,Sección Historia - Estante 4
Poemas de la lluvia,Brenda Méndez Fuentes,Poesía,978-1000003697,3,Sección A - Estante 2
El mundo de la genética,Valeria Morales Álvarez,Ciencia,978-1000003703,1,Sección Ciencia - Estante 5
Cocinar con los mercados,Teresa Navarro Luna,Cocina,978-1000003710,0,Sección Hogar - Estante 12
Protocolo Marte,Carlos Blanco,Ciencia Ficción,978-1000003727,2,Sección B - Estante 2
La casa de la habitación 13,Arturo Guerrero,Terror,978-1000003734,1,Sección B - Estante 10
El pequeño colibrí,Rosa Sandoval,Infantil,978-1000003741,1,Sección Infantil - Estante 5
Historias desde la lluvia,Natalia Cervantes Padilla,Cuento,978-1000003758,1,Sección A - Estante 6
El misterio de la noche interminable: Edición para jóvenes 3,Estela Jiménez,Juvenil,978-1000003765,5,Sección Juvenil - Estante 2
Estudios sobre las juventudes: Estudios y comentarios 2,Felipe Zúñiga,Ciencias Sociales,978-1000003772,3,Sección Humanidades - Estante 2
Rutas de el Valle de México,Óscar Moreno Castillo,Historia de México,978-1000003789,3,Sección Historia - Estante 8
Economía para la economía,David Santos,Economía,978-1000003796,2,Sección Humanidades - Estante 12
Una vida entre una científica,Enrique Cortés,Biografía,978-1000003802,1,Sección Historia - Estante 11
Memoria de la Ciudad de México: Volumen II 3,Lorena Espinosa,Historia de México,978-1000003819,4,Sección Historia - Estante 9
Rutas de los barrios de la capital,Ángel Contreras Campos,Historia de México,978-1000003826,2,Sección Historia - Estante 9
Retrato de un médico de barrio,Verónica Castro,Biografía,978-1000003833,1,Sección Historia - Estante 5
La distancia sin regreso: Edición para jóvenes 2,Alejandra Solís,Novela,978-1000003840,4,Sección A - Estante 7
Aprender a el aula inclusiva,Lorena Sandoval López,Educación,978-1000003857,3,Sección Educación - Estante 7
Relatos de la ciudad,Alicia Cabrera,Cuento,978-1000003864,3,Sección A - Estante 11
Crónicas de la azotea,Eva Serrano Pacheco,Juvenil,978-1000003871,3,Sección Juvenil - Estante 4
Guía básica de arte y cultura,David Vázquez,Referencia,978-1000003888,5,Sección Referencia - Estante 7
El mundo de la química,Rodrigo Morales,Ciencia,978-1000003895,3,Sección Ciencia - Estante 11
El caso de la biblioteca cerrada,Héctor Blanco Torres,Misterio,978-1000003901,4,Sección B - Estante 10
La increíble luna de papel,Carlos López,Infantil,978-1000003918,1,Sección Infantil - Estante 2
Cuidemos los bosques,Carlos Delgado,Medio Ambiente,978-1000003925,1,Sección Ciencia - Estante 7
Misterio en el último tranvía,Sara Olvera,Misterio,978-1000003932,7,Sección B - Estante 9
Preguntas y respuestas sobre los océanos,Ángel Flores,Ciencia,978-1000003949,2,Sección Ciencia - Estante 2
Atlas histórico de la vida cotidiana,Ángel González Barrera,Historia,978-1000003956,2,Sección Historia - Estante 12
Paisajes de las alcaldías,Gerardo Juárez,Geografía,978-1000003963,2,Sección Referencia - Estante 11
Memorias de un músico popular: Volumen I 3,Miguel Ríos Rivera,Biografía,978-1000003970,2,Sección Historia - Estante 4
La colonia la Luna,Pedro Molina Blanco,Ciencia Ficción,978-1000003987,8,Sección B - Estante 3
Los hijos de la luna verde,Marcela Pacheco Arellano,Fantasía,978-1000003994,5,Sección B - Estante 10
El rumor sin regreso,Héctor Delgado,Novela,978-1000004007,2,Sección A - Estante 3
Introducción a la ciudad sostenible,Ximena Reyes,Medio Ambiente,978-1000004014,2,Sección Ciencia - Estante 5
Guía ciudadana de los derechos de niñas y niños,Julia Mendoza,Derecho,978-1000004021,5,Sección Humanidades - Estante 7
Bajo la misma la azotea,Elena Morales Cárdenas,Juvenil,978-1000004038,4,Sección Juvenil - Estante 10
Voces de la ciudad,Brenda Montes,Cuento,978-1000004045,2,Sección A - Estante 7
Historia de los barrios de la capital: Guía ilustrada 2,Irene Pérez,Historia de México,978-1000004052,2,Sección Historia - Estante 9
La pandilla de niñas curiosas,Beatriz Ortega Robles,Infantil,978-1000004069,2,Sección Infantil - Estante 2
Historias desde la periferia,Noemí Ibarra,Cuento,978-1000004076,2,Sección A - Estante 1
Herramientas para la educación comunitaria,Irene Vargas,Educación,978-1000004083,0,Sección Educación - Estante 12
Introducción a los insectos,Javier Aranda,Ciencia,978-1000004090,3,Sección Ciencia - Estante 11
Aprende seguridad digital,Gabriela Ortega,Tecnología,978-1000004106,1,Sección Ciencia - Estante 10
Guía de la física,Estela Valdez,Ciencia,978-1000004113,4,Sección Ciencia - Estante 11
La última la azotea: Cuaderno de actividades 2,Cecilia Domínguez,Juvenil,978-1000004120,3,Sección Juvenil - Estante 9
La noche en el edificio antiguo: Guía ilustrada 2,Rodrigo Cárdenas,Terror,978-1000004137,8,Sección B - Estante 10
Crimen en la biblioteca cerrada: Lecturas seleccionadas 2,Teresa Marín,Misterio,978-1000004144,7,Sección B - Estante 10
La última misión a la frontera solar,Estela Luna Cabrera,Ciencia Ficción,978-1000004151,2,Sección B - Estante 7
Historia del grabado,Diego Fuentes,Arte,978-1000004168,1,Sección Arte - Estante 11
La memoria del barrio,Daniel Trejo,Novela,978-1000004175,1,Sección A - Estante 12
No mires la niebla,Daniel García,Terror,978-1000004182,3,Sección B - Estante 1
Breves historias de la periferia,Manuel Peña,Cuento,978-1000004199,4,Sección A - Estante 6
